Fecha,Símbolo,Direccion,Jugada,Entrada,Stop,Riesgo,lotes,RU
2022-1-18 16:04:58,BABA,Corto,VBS_ADX,126.92,127.77,0.85,58.82353,50
2022-1-18 16:09:57,AAPL,Corto,VBS_ADX,171.2011,171.8,0.5989,83.48639,50
2022-1-18 16:09:57,BABA,Corto,VBS_ADX,127.86,129.1,1.24,40.32258,50
2022-1-18 16:09:55,MCD,Corto,VBS_ADX,255,255.51,0.51,98.03922,50
2022-1-18 16:09:56,TGT,Corto,VBS_ADX,217.74,218.32,0.58,86.2069,50
2022-1-18 16:14:57,AAPL,Corto,VBS_ADX,171.65,171.97,0.32,156.25,50
2022-1-18 16:14:57,BABA,Corto,VBS_ADX,129.3,129.8,0.5,100,50
2022-1-18 16:14:56,MCD,Corto,VBS_ADX,255.34,255.6683,0.3283,152.29973,50
2022-1-18 16:19:57,UBER,Corto,VBS_ADX,40.57,40.805,0.235,212.76596,50
2022-1-18 16:24:56,TGT,Corto,VBS_ADX,217.84,218.13,0.29,172.41379,50
2022-1-18 16:24:55,WYNN,largo,VBS_ADX,92.85,92.4726,0.3774,132.48543,50
2022-1-18 16:39:56,DIS,largo,VBS_ADX,151.83,151.46,0.37,135.13514,50
2022-1-18 16:39:56,LVS,largo,VBS_ADX,43.86,43.7,0.16,312.5,50
2022-1-18 16:39:55,WMT,Corto,VBS_ADX,143.04,143.4257,0.3857,129.63443,50
2022-1-18 16:44:55,DIS,largo,VBS_ADX,151.58,151.3401,0.2399,208.42018,50
2022-1-18 16:44:57,LVS,largo,VBS_ADX,43.67,43.43,0.24,208.33333,50
2022-1-18 16:44:56,WMT,Corto,VBS_ADX,143.241,143.48,0.239,209.20502,50
2022-1-18 17:19:56,AMAT,Corto,VBS_ADX,158.11,158.57,0.46,108.69565,50
2022-1-18 17:19:57,MU,Corto,VBS_ADX,94.62,95.45,0.83,60.24096,50
2022-1-18 17:19:55,SBUX,Corto,VBS_ADX,98.12,98.24,0.12,416.66667,50
2022-1-18 17:44:55,AMAT,Corto,VBS_ADX,157.7,158.14,0.44,113.63636,50
2022-1-18 17:49:56,AMAT,Corto,VBS_ADX,157.8001,158.14,0.3399,147.10209,50
2022-1-18 17:59:56,MRK,largo,VBS_ADX,81.86,81.77,0.09,555.55556,50
2022-1-18 18:04:56,DIS,largo,VBS_ADX,152.7,152.42,0.28,178.57143,50
2022-1-18 18:04:56,LOW,largo,VBS_ADX,237.58,236.93,0.65,76.92308,50
2022-1-18 19:14:57,WMT,Corto,VBS_ADX,142.89,143.02,0.13,384.61538,50
2022-1-18 19:19:56,LOW,Corto,VBS_ADX,236.51,236.925,0.415,120.48193,50
2022-1-18 19:34:56,MU,Corto,VBS_ADX,93.5799,93.73,0.1501,333.11126,50
2022-1-18 19:39:57,QCOM,Corto,VBS_ADX,181.05,181.3637,0.3137,159.38795,50
