Fecha,Símbolo,Direccion,Jugada,Entrada,Stop,Riesgo,lotes,RU
2021-8-3 15:31:38,C,largo,Vela Elefante,68.4,67.64,0.76,65.78947,50
2021-8-3 15:31:39,EBAY,Corto,Vela Elefante,68.52,68.75,0.23,217.3913,50
2021-8-3 15:31:43,MET,largo,Vela Elefante,58.11,57.745,0.365,136.9863,50
2021-8-3 15:31:44,MS,largo,Vela Elefante,96.94,96.06,0.88,56.81818,50
2021-8-3 15:31:45,ORCL,largo,Vela Elefante,88.03,87.56,0.47,106.38298,50
2021-8-3 15:31:48,TWTR,largo,Vela Elefante,69.87,68.82,1.05,47.61905,50
2021-8-3 15:31:49,UBER,Corto,Vela Elefante,43.28,43.68,0.4,125,50
2021-8-4 15:31:46,EBAY,Corto,Vela Elefante,67.8,68.01,0.21,238.09524,50
2021-8-4 15:31:51,MET,Corto,Vela Elefante,57.21,58.2,0.99,50.50505,50
2021-8-4 15:32:00,WFC,Corto,Vela Elefante,46.17,46.84,0.67,74.62687,50
2021-8-5 15:32:16,KO,largo,Vela Elefante,56.5749,56.39,0.1849,270.41644,50
2021-8-5 15:32:19,MS,largo,Vela Elefante,97.53,96.84,0.69,72.46377,50
2021-8-5 15:32:24,TWTR,Corto,Vela Elefante,68.42,68.99,0.57,87.7193,50
2021-8-5 15:32:24,UAL,largo,Vela Elefante,45.82,45.38,0.44,113.63636,50
2021-8-6 15:31:46,EBAY,Corto,Vela Elefante,66.75,67.31,0.56,89.28571,50
2021-8-6 15:31:51,MRK,largo,Vela Elefante,75.61,75.5,0.11,454.54545,50
2021-8-6 15:32:00,XOM,largo,Vela Elefante,57.81,57.12,0.69,72.46377,50
2021-8-12 15:31:56,TWTR,Corto,Vela Elefante,64.77,64.82,0.05,1000,50
2021-8-16 15:31:49,INTC,Corto,Vela Elefante,53.11,53.52,0.41,121.95122,50
2021-8-16 15:31:48,MS,Corto,Vela Elefante,102.7674,104.03,1.2626,39.60082,50
2021-8-16 15:31:49,MU,Corto,Vela Elefante,70.02,70.965,0.945,52.91005,50
2021-8-16 15:31:50,XOM,Corto,Vela Elefante,55.96,56.8,0.84,59.52381,50
2021-8-16 15:33:47,AMAT,largo,Vela Elefante,130.69,130.0453,0.6447,77.55545,50
2021-8-16 15:33:48,MS,Corto,Vela Elefante,102.7001,103.02,0.3199,156.29884,50
2021-8-16 15:33:49,QCOM,largo,Vela Elefante,148.9898,148.54,0.4498,111.16052,50
2021-8-16 15:33:48,VZ,Corto,Vela Elefante,55.85,55.9,0.05,1000,50
2021-8-17 15:31:54,AMD,Corto,Vela Elefante,106.26,107.48,1.22,40.98361,50
2021-8-17 15:31:53,C,Corto,Vela Elefante,70.9999,72.13,1.1301,44.24387,50
2021-8-17 15:31:54,EBAY,Corto,Vela Elefante,73.55,75.33,1.78,28.08989,50
2021-8-17 15:31:54,INTC,Corto,Vela Elefante,52.81,53.49,0.68,73.52941,50
2021-8-17 15:31:53,MS,Corto,Vela Elefante,102.55,103.79,1.24,40.32258,50
2021-8-17 15:31:53,MU,Corto,Vela Elefante,69.69,70.98,1.29,38.75969,50
2021-8-17 15:31:54,QCOM,Corto,Vela Elefante,146.1,148.28,2.18,22.93578,50
2021-8-17 15:31:54,SBUX,Corto,Vela Elefante,116.49,117.55,1.06,47.16981,50
2021-8-17 15:31:53,SNAP,Corto,Vela Elefante,70.89,72.45,1.56,32.05128,50
2021-8-17 15:31:53,TWTR,Corto,Vela Elefante,63.15,63.635,0.485,103.09278,50
2021-8-17 15:31:54,UAL,Corto,Vela Elefante,45.2,46.2,1,50,50
2021-8-17 15:31:53,WFC,Corto,Vela Elefante,48.82,49.43,0.61,81.96721,50
2021-8-18 15:31:52,AAPL,largo,Vela Elefante,150.29,149.51,0.78,64.10256,50
2021-8-18 15:31:51,VZ,Corto,Vela Elefante,56.01,56.2,0.19,263.15789,50
2021-8-20 15:31:54,AMD,largo,Vela Elefante,105.37,103.66,1.71,29.23977,50
2021-8-20 15:31:55,INTC,Corto,Vela Elefante,51.99,52.46,0.47,106.38298,50
2021-8-20 15:31:53,VZ,Corto,Vela Elefante,55.3,55.39,0.09,555.55556,50
2021-8-23 15:31:50,AMAT,largo,Vela Elefante,129.0799,127.17,1.9099,26.17938,50
2021-8-23 15:31:50,INTC,largo,Vela Elefante,52.78,51.98,0.8,62.5,50
2021-8-23 15:31:49,LVS,largo,Vela Elefante,38.54,37.53,1.01,49.50495,50
2021-8-23 15:31:49,MRK,largo,Vela Elefante,79.14,78.66,0.48,104.16667,50
2021-8-23 15:31:49,MU,largo,Vela Elefante,71.11,70.19,0.92,54.34783,50
2021-8-23 15:31:50,ORCL,Corto,Vela Elefante,88.92,89.49,0.57,87.7193,50
2021-8-23 15:31:50,TWTR,largo,Vela Elefante,63.22,62.46,0.76,65.78947,50
2021-8-23 15:31:50,UBER,Corto,Vela Elefante,38.99,39.97,0.98,51.02041,50
2021-8-23 15:31:49,VZ,largo,Vela Elefante,55.63,55.49,0.14,357.14286,50
2021-8-23 15:31:49,XOM,largo,Vela Elefante,54.06,52.725,1.335,37.45318,50
2021-8-24 15:31:57,TWTR,largo,Vela Elefante,65.06,64.085,0.975,51.28205,50
2021-8-25 15:31:56,AMD,largo,Vela Elefante,108.64,107.53,1.11,45.04505,50
2021-8-25 15:31:56,MU,largo,Vela Elefante,73,72,1,50,50
2021-8-25 15:31:56,SBUX,largo,Vela Elefante,115.69,115.05,0.64,78.125,50
2021-8-30 15:31:39,XOM,largo,Vela Elefante,56.24,55.745,0.495,101.0101,50
